at: 2019-04-17 07:04:05.028    Python script hello.py on channel hello_world...
at: 2019-04-17 13:46:14.989    {'ping': 'hello.py'}
at: 2019-04-17 13:46:17.098    {'status': 'pingAck_hello.py_T6:47:53:936'}
at: 2019-04-17 13:49:15.011    {'ping': 'hello.py'}
at: 2019-04-17 13:49:17.397    {'status': 'pingAck_hello.py_T6:50:53:887'}
at: 2019-04-17 13:52:15.008    {'ping': 'hello.py'}
at: 2019-04-17 13:52:16.975    {'status': 'pingAck_hello.py_T6:53:53:823'}
at: 2019-04-17 13:55:14.980    {'ping': 'hello.py'}
at: 2019-04-17 13:55:17.194    {'status': 'pingAck_hello.py_T6:56:53:705'}
at: 2019-04-17 13:58:14.971    {'ping': 'hello.py'}
at: 2019-04-17 13:58:16.965    {'status': 'pingAck_hello.py_T6:59:53:620'}
at: 2019-04-17 14:01:15.003    {'ping': 'hello.py'}
at: 2019-04-17 14:01:17.094    {'status': 'pingAck_hello.py_T7:2:53:576'}
at: 2019-04-17 14:04:15.044    {'ping': 'hello.py'}
at: 2019-04-17 14:04:17.145    {'status': 'pingAck_hello.py_T7:5:53:538'}
at: 2019-04-17 14:07:14.992    {'ping': 'hello.py'}
at: 2019-04-17 14:07:17.871    {'status': 'pingAck_hello.py_T7:8:53:411'}
at: 2019-04-17 14:10:14.977    {'ping': 'hello.py'}
at: 2019-04-17 14:10:17.011    {'status': 'pingAck_hello.py_T7:11:53:318'}
at: 2019-04-17 14:13:14.994    {'ping': 'hello.py'}
at: 2019-04-17 14:13:17.026    {'status': 'pingAck_hello.py_T7:14:53:253'}
at: 2019-04-17 14:16:15.014    {'ping': 'hello.py'}
at: 2019-04-17 14:16:17.082    {'status': 'pingAck_hello.py_T7:17:53:206'}
at: 2019-04-17 14:19:14.994    {'ping': 'hello.py'}
at: 2019-04-17 14:19:17.208    {'status': 'pingAck_hello.py_T7:20:53:91'}
at: 2019-04-17 14:22:14.977    {'ping': 'hello.py'}
at: 2019-04-17 14:22:17.031    {'status': 'pingAck_hello.py_T7:23:53:28'}
at: 2019-04-17 14:25:15.007    {'ping': 'hello.py'}
at: 2019-04-17 14:25:16.946    {'status': 'pingAck_hello.py_T7:26:52:973'}
at: 2019-04-17 14:28:14.983    {'ping': 'hello.py'}
at: 2019-04-17 14:28:16.941    {'status': 'pingAck_hello.py_T7:29:52:873'}
at: 2019-04-17 14:31:14.980    {'ping': 'hello.py'}
at: 2019-04-17 14:31:17.115    {'status': 'pingAck_hello.py_T7:32:52:797'}
at: 2019-04-17 14:34:14.979    {'ping': 'hello.py'}
at: 2019-04-17 14:34:16.978    {'status': 'pingAck_hello.py_T7:35:52:713'}
at: 2019-04-17 14:37:15.003    {'ping': 'hello.py'}
at: 2019-04-17 14:37:16.965    {'status': 'pingAck_hello.py_T7:38:52:667'}
at: 2019-04-17 14:40:15.076    {'ping': 'hello.py'}
at: 2019-04-17 14:40:17.052    {'status': 'pingAck_hello.py_T7:41:52:663'}
at: 2019-04-17 14:43:14.978    {'ping': 'hello.py'}
at: 2019-04-17 14:43:17.185    {'status': 'pingAck_hello.py_T7:44:52:491'}
at: 2019-04-17 14:46:14.979    {'ping': 'hello.py'}
